iter	Passed	Remaining
623	4301	2591
624	4308	2585
625	4317	2579
626	4327	2574
627	4337	2569
628	4346	2563
629	4354	2557
630	4361	2550
631	4368	2543
632	4374	2536
633	4381	2529
634	4390	2523
635	4397	2516
636	4405	2510
637	4413	2504
638	4420	2497
639	4428	2491
640	4437	2485
641	4445	2478
642	4452	2472
643	4460	2465
644	4467	2459
645	4475	2452
646	4482	2445
647	4489	2438
648	4496	2431
649	4503	2424
650	4510	2418
651	4518	2411
652	4524	2404
653	4531	2397
654	4539	2390
655	4546	2384
656	4552	2376
657	4559	2369
658	4566	2363
659	4574	2356
660	4580	2349
661	4587	2342
662	4610	2343
663	4620	2338
664	4628	2331
665	4635	2324
666	4642	2318
667	4651	2311
668	4658	2305
669	4667	2298
670	4674	2292
671	4682	2285
672	4690	2279
673	4698	2272
674	4705	2265
675	4713	2259
676	4724	2254
677	4732	2247
678	4740	2241
679	4748	2234
680	4756	2228
681	4765	2222
682	4773	2215
683	4781	2209
684	4790	2202
685	4798	2196
686	4806	2189
687	4815	2183
688	4823	2177
689	4831	2170
690	4839	2164
691	4848	2157
692	4856	2151
693	4866	2145
694	4874	2139
695	4882	2132
696	4890	2126
697	4898	2119
698	4906	2112
699	4914	2106
700	4923	2099
701	4931	2093
702	4940	2087
703	4948	2080
704	4956	2074
705	4965	2067
706	4974	2061
707	4981	2054
708	4989	2047
709	4997	2041
710	5007	2035
711	5015	2028
712	5024	2022
713	5032	2015
714	5041	2009
715	5048	2002
716	5055	1995
717	5063	1988
718	5071	1982
719	5079	1975
720	5088	1969
721	5096	1962
722	5104	1955
723	5112	1948
724	5121	1942
725	5130	1936
726	5137	1929
727	5145	1922
728	5153	1915
729	5160	1908
730	5168	1901
731	5175	1894
732	5183	1888
733	5191	1881
734	5199	1874
735	5208	1868
736	5217	1861
737	5224	1854
738	5242	1851
739	5250	1844
740	5258	1837
741	5265	1830
742	5273	1823
743	5280	1816
744	5287	1809
745	5294	1802
746	5302	1795
747	5309	1788
748	5317	1782
749	5325	1775
750	5333	1768
751	5341	1761
752	5350	1754
753	5358	1748
754	5366	1741
755	5374	1734
756	5382	1727
757	5390	1720
758	5397	1713
759	5405	1706
760	5421	1702
761	5428	1695
762	5436	1688
763	5446	1682
764	5454	1675
765	5461	1668
766	5469	1661
767	5477	1654
768	5492	1649
769	5500	1642
770	5508	1636
771	5519	1630
772	5526	1623
773	5533	1615
774	5541	1608
775	5547	1601
776	5554	1594
777	5561	1587
778	5568	1579
779	5574	1572
780	5581	1565
781	5588	1557
782	5595	1550
783	5602	1543
784	5608	1536
785	5616	1529
786	5623	1521
787	5630	1514
788	5635	1507
789	5644	1500
790	5651	1493
791	5657	1485
792	5664	1478
793	5672	1471
794	5679	1464
795	5686	1457
796	5693	1450
797	5699	1442
798	5705	1435
799	5712	1428
800	5718	1420
801	5725	1413
802	5731	1406
803	5737	1398
804	5744	1391
805	5751	1384
806	5757	1377
807	5764	1369
808	5770	1362
809	5777	1355
810	5783	1347
811	5790	1340
812	5796	1333
813	5802	1325
814	5809	1318
815	5815	1311
816	5822	1304
817	5828	1296
818	5835	1289
819	5841	1282
820	5847	1274
821	5854	1267
822	5860	1260
823	5867	1253
824	5874	1246
825	5881	1238
826	5888	1231
827	5895	1224
828	5905	1218
829	5914	1211
830	5920	1204
831	5927	1196
832	5933	1189
833	5939	1182
834	5945	1174
835	5952	1167
836	5960	1160
837	5967	1153
838	5974	1146
839	5981	1139
840	5988	1132
841	5995	1125
842	6001	1117
843	6007	1110
844	6013	1103
845	6019	1095
846	6026	1088
847	6033	1081
848	6040	1074
849	6047	1067
850	6053	1059
851	6059	1052
852	6066	1045
853	6072	1038
854	6078	1030
855	6084	1023
856	6090	1016
857	6096	1009
858	6102	1001
859	6108	994
860	6114	987
861	6121	980
862	6127	972
863	6133	965
864	6139	958
865	6145	950
866	6151	943
867	6158	936
868	6164	929
869	6171	922
870	6177	914
871	6184	907
872	6190	900
873	6196	893
874	6202	886
875	6208	878
876	6214	871
877	6220	864
878	6226	857
879	6232	849
880	6239	842
881	6245	835
882	6252	828
883	6259	821
884	6266	814
885	6272	807
886	6279	799
887	6285	792
888	6291	785
889	6300	778
890	6307	771
891	6315	764
892	6323	757
893	6329	750
894	6336	743
895	6344	736
896	6351	729
897	6358	722
898	6365	715
899	6372	708
900	6379	700
901	6385	693
902	6392	686
903	6399	679
904	6407	672
905	6415	665
906	6422	658
907	6429	651
908	6437	644
909	6444	637
910	6452	630
911	6458	623
912	6466	616
913	6473	609
914	6480	601
915	6487	594
916	6494	587
917	6501	580
918	6509	573
919	6516	566
920	6524	559
921	6532	552
922	6539	545
923	6547	538
924	6554	531
925	6562	524
926	6570	517
927	6578	510
928	6586	503
929	6593	496
930	6601	489
931	6609	482
932	6617	475
933	6625	468
934	6633	461
935	6641	454
936	6652	447
937	6660	440
938	6668	433
939	6675	426
940	6682	418
941	6692	412
942	6701	405
943	6709	397
944	6717	390
945	6726	383
946	6733	376
947	6741	369
948	6748	362
949	6755	355
950	6763	348
951	6771	341
952	6778	334
953	6785	327
954	6792	320
955	6799	312
956	6806	305
957	6813	298
958	6821	291
959	6829	284
960	6836	277
961	6844	270
962	6850	263
963	6858	256
964	6864	248
965	6872	241
966	6878	234
967	6886	227
968	6894	220
969	6901	213
970	6909	206
971	6916	199
972	6923	192
973	6930	185
974	6937	177
975	6944	170
976	6951	163
977	6959	156
978	6967	149
979	6974	142
980	6981	135
981	6988	128
982	6996	121
983	7003	113
984	7010	106
985	7016	99
986	7023	92
987	7030	85
988	7037	78
989	7043	71
990	7049	64
991	7056	56
992	7063	49
993	7069	42
994	7076	35
995	7084	28
996	7091	21
997	7098	14
998	7104	7
999	7111	0
